"GEOID","NAME","state_name","total_pop","pct_female","pct_male","pct_white","pct_black","pct_am_indian","pct_asian","pct_pacificI","pct_other","pct_two_or_more","pct_divorced","pct_hs_or_higher","pct_ba_or_higher","pct_doctorate","pct_uninsured","med_household_income"
"01001","Autauga County","Alabama",59285,51.6420679767226,48.3579320232774,73.5700430125664,19.9527705153074,0.07084422703888,1.03904866323691,0,0.775912962806781,4.5913806190436,0.121689602128633,90.2789020531312,28.2826796183187,0.998356513846984,0.0736458854589064,69841
"01003","Baldwin County","Alabama",239945,51.1071287169976,48.8928712830024,82.8193961116089,7.97849507178729,0.408426931171727,0.946883660838942,0.0433432661651628,2.26718623017775,5.53626872825022,0.115804020860864,91.7313998651069,32.797637044445,1.3849803474661,0.0816969717453021,75019
"01005","Barbour County","Alabama",24757,47.8692894938805,52.1307105061195,43.9915983358242,46.9200630124813,0.185806034656865,0.549339580724644,0,5.400492789918,2.95270024639496,0.13151473745852,77.8137054685727,11.4647152257772,0.510551395507148,0.108369840903851,44290
"01007","Bibb County","Alabama",22152,46.6233297219213,53.3766702780787,75.0902853015529,20.7069339111593,0.789996388587938,0.230227518959913,0,0.361141206211629,2.82141567352835,0.121840324763194,80.3402171866173,11.4682066411399,0.483334379511644,0.0832491217939464,51215
"01009","Blount County","Alabama",59292,49.5142683667274,50.4857316332726,89.4926802941375,1.25986642380085,0.396343520205087,0.0860149767253592,0.148417999055522,3.46589759158065,5.15077919449504,0.116941934143555,82.6962016052304,15.5790295430704,0.409846063770096,0.101939519624675,61096
"01011","Bullock County","Alabama",10157,45.3184995569558,54.6815004430442,22.9103081618588,71.2218174657871,0,0.462735059564832,0,3.22929999015457,2.17583932263464,0.0920401014615292,74.0444564922743,8.9997289238276,0,0.129423328964613,36723
"01013","Butler County","Alabama",18807,53.9745839315149,46.0254160684851,51.1618014569043,44.7227096293933,0.366884670601372,1.32397511564843,0,0.414739192853725,2.00988993459882,0.125643532095145,87.5949559404436,13.7648131267092,0.235490732300213,0.122638454064558,44881
"01015","Calhoun County","Alabama",116141,51.6527324545165,48.3472675454835,71.0042103994283,21.9689859739455,0.260028758147424,0.796445699623733,0.170482430838377,2.08453517706925,3.71531156094747,0.143645198965546,86.0862044844646,20.5451053709286,1.08995637630839,0.110927398542547,55826
"01017","Chambers County","Alabama",34450,53.3236574746009,46.6763425253991,55.410740203193,39.7590711175617,0.04644412191582,0.583454281567489,0.00870827285921626,2.07837445573295,2.11320754716981,0.132380818647757,83.6219571965365,14.5850351249796,0.367586995588956,0.122382873465061,49295
"01019","Cherokee County","Alabama",25224,50.7492863939106,49.2507136060894,91.2503964478275,3.75832540437678,0.408341262289883,0.154614652711703,0,0.654138915318744,3.77418331747542,0.12890844411159,83.8685626031847,15.9450391436332,0.639079725195718,0.0901875901875902,50769
"01021","Chilton County","Alabama",45500,51.1098901098901,48.8901098901099,80.9120879120879,9.17582417582418,1.35384615384615,0.487912087912088,0.342857142857143,3,4.72747252747253,0.120542966491368,84.1870751618044,15.2470159690376,0.234169187237779,0.100732803471407,61873
"01023","Choctaw County","Alabama",12525,53.1177644710579,46.8822355289421,56.6946107784431,38.1796407185629,0.119760479041916,0.17564870259481,0,0.415169660678643,4.41516966067864,0.120297171159158,84.21871527006,13.9142031562569,0.100022227161591,0.0816606207174526,44483
"01025","Clarke County","Alabama",22802,52.6839750899044,47.3160249100956,51.5261819138672,45.4346109990352,0.0394702219103587,0.311376195070608,0,0.951670906060872,1.73668976405578,0.116565398145187,85.2686959789553,15.4265313791808,0.156582738318928,0.0816253945671987,49167
"01027","Clay County","Alabama",14188,51.8254863264731,48.1745136735269,80.5187482379476,12.968705948689,0.133915985339724,0.331265858471948,0,1.13476177051029,4.91260219904144,0.0884428948039799,82.7566039575007,15.2354030607272,0,0.0841900927457042,51852
"01029","Cleburne County","Alabama",15254,49.8361085616887,50.1638914383113,92.8149993444342,3.9202832044054,0.275337616362921,0.104890520519208,0,1.3504654516848,1.53402386259342,0.137828973682105,85.3972930669367,18.2119510174017,0.248595893564129,0.0925186368477103,53319
"01031","Coffee County","Alabama",54231,50.2719846582213,49.7280153417787,71.5089155648983,16.5790783869005,0.575316700779997,0.938577566336597,0.0903542254430123,2.26438752742896,8.04337002821265,0.134260429835651,86.0231953175807,21.5288315629742,0.991762410578799,0.104551210714149,64672
"01033","Colbert County","Alabama",57648,51.8040521787399,48.1959478212601,78.0321953927283,15.7906605606439,0.163058562309187,0.397238412434083,0.0329586455731335,1.76935886761032,3.81452955870108,0.155013081272681,87.5494167602128,20.2718531895163,0.954170530528576,0.0740986584684181,56736
"01035","Conecuh County","Alabama",11411,53.579879064061,46.420120935939,50.2147051091053,45.7540969240207,0.14897905529752,0.236613793707826,0,0.262904215230918,3.38270090263781,0.112464259239648,87.4861572535991,13.1290759197736,1.30429432755014,0.081627250264737,42266
"01037","Coosa County","Alabama",10323,48.7648939261843,51.2351060738157,64.5548774581033,29.6909813038845,0.1259323839969,0,0,1.0752688172043,4.552940036811,0.157823589050355,82.7725267800882,14.8708254568368,0.403276622558286,0.0736578023080783,57063
"01039","Covington County","Alabama",37647,51.7305495789837,48.2694504210163,83.2071612611895,11.732674582304,0.22046909448296,0.401094376709964,0,0.650782266847292,3.78781841846628,0.147148610028579,86.1823954042103,17.1775199365055,0.438414150194641,0.103440854429528,50886
