"GEOID","NAME","total_pop","pct_female","pct_male","pct_white","pct_black","pct_am_indian","pct_asian","pct_pacificI","pct_other","pct_two_or_more","pct_divorced","pct_hs_or_higher","pct_ba_or_higher","pct_doctorate","pct_uninsured","med_household_income"
"01","Alabama",5054253,51.458326284814,48.541673715186,65.3582240540788,26.0870795347997,0.44499157442257,1.42392951045387,0.0507295539024263,2.12300413137213,4.51204164097049,0.121362868520023,88.1280409894493,36.7206526574529,1.28106528952511,0.0940512279405521,62027
"02","Alaska",733971,47.5021492674779,52.4978507325221,60.7033520397945,3.10284738770333,13.7915530722603,6.4170110263212,1.55033373253167,2.19954194375527,12.2353607976337,0.111823409347931,93.4712432594184,40.3760583558617,1.29964357669455,0.112042753286666,89336
"04","Arizona",7268175,50.0742070739904,49.9257929260096,63.202289433042,4.63570291029041,4.0834734991934,3.43712142319083,0.198591806058605,8.19724346207954,16.2455774661452,0.118330792874727,89.0889993313474,41.810107054556,1.48375967537585,0.106219586661618,76872
"05","Arkansas",3032651,50.6716071186562,49.3283928813437,70.8583348364187,14.908639338981,0.55703739071855,1.55998827428544,0.397012382895361,3.02939573330396,8.68959204339702,0.1282477320438,88.5576180203437,33.0819036696238,1.03044409400429,0.0899071298509658,58773
"06","California",39242785,50.0395244629045,49.9604755370955,43.9540134575056,5.53819765849952,1.13452447373447,15.2819658441673,0.376698544713379,17.3797629296697,16.33483709171,0.0899813172587806,84.5992520451392,44.4253778172745,1.88778539098373,0.0692108284721392,96334
"08","Colorado",5810774,49.3601368767741,50.6398631232259,73.4632597998132,4.0095347022617,1.0080584789565,3.22734974721096,0.148809779901955,5.4332348840275,12.7097526078281,0.1133518081132,92.7586099312275,53.0605412756213,1.98391297436149,0.0769575009848957,92470
"09","Connecticut",3598348,50.9464620987186,49.0535379012814,67.5682841125983,10.6924899981881,0.265927586770374,4.75090235852675,0.0501896981614897,7.13505197385022,9.53715427190477,0.104179807024382,91.3319485970958,49.5733072547045,1.91914019487116,0.0530303008997096,93760
"10","Delaware",1005872,51.526138514642,48.473861485358,61.8169110980324,21.9356936071389,0.37221435729397,4.09236960567547,0.0400647398476148,4.09922932540124,7.64351726661046,0.109277194094955,91.3935268466673,43.6407194394476,2.05139898823549,0.0621557233814842,82855
"11","District of Columbia",672079,52.3864010034535,47.6135989965465,39.0651991804535,43.2645566964598,0.304130913181337,4.08657315583436,0.0562433880540829,4.81163672722998,8.41165993878696,0.0854363374217096,92.8467029723001,66.4902994595443,4.56972044111757,0.0341395505977249,106287
"12","Florida",21928881,50.8701789206663,49.1298210793337,59.9059340966828,15.339446641167,0.304525342629202,2.86442796602344,0.0599027373991404,5.57514539843597,15.9506178176625,0.126202130902823,89.6315078977374,43.3005017760233,1.36126769595955,0.119014405054413,71711
"13","Georgia",10822590,51.196876163654,48.803123836346,52.4600026426207,31.3389770840437,0.388613076906729,4.36970263125555,0.0678026239560031,4.14490431588002,7.22999762533737,0.111726952289755,88.9519182248596,42.5382803947575,1.5501319443104,0.125989800629855,74664
"15","Hawaii",1445635,49.6779615878144,50.3220384121856,22.5060959370796,1.91887993857371,0.26528134695134,37.2713029222452,10.3089645726618,1.68327413212879,26.0462011503595,0.0934138657576713,92.8992136085914,46.4505315125989,1.64744084543647,0.0371118267840601,98317
"16","Idaho",1893296,49.7130929342269,50.2869070657731,83.347770237723,0.74515553827822,1.13727594628626,1.3193393954247,0.163629987070168,4.86786007048026,8.41896882473739,0.116170432262534,91.6765716829848,40.9436004754408,1.33285757108909,0.0928585777151627,74636
"17","Illinois",12692653,50.5982003919905,49.4017996080094,63.3320078946458,13.790765413661,0.527785641031863,5.81681386862148,0.0434424544655873,7.25028880880932,9.23889591876497,0.0967015598267062,90.2579095272279,45.483610831795,1.52941996361663,0.0695231095265497,81702
"18","Indiana",6811752,50.4237529493147,49.5762470506853,78.5066455737085,9.25870466217795,0.252622232870486,2.53878884610009,0.0344257982381038,3.14077787917117,6.26803500773369,0.122766269999596,90.2254598508895,37.8693765539653,1.21009697971445,0.075702418096085,70051
"19","Iowa",3195937,49.8909709421681,50.1090290578319,85.5856357619064,3.85595836213292,0.344124430487835,2.44895315520925,0.137549645064968,2.02040903810056,5.60736960709801,0.106135792716217,93.2202463377305,42.9185844643902,1.34876541479559,0.0485973528201533,73147
"20","Kansas",2937569,49.8341996392255,50.1658003607745,77.9233440984705,5.44085943172739,0.745446319729,2.93480765898605,0.0880319747382955,3.91493782784336,8.95257268850536,0.112389989168099,91.9000896398011,44.1752491733017,1.43175400728188,0.0886188499265769,72639
"21","Kentucky",4510725,50.4764755111429,49.5235244888571,83.6801401105144,7.87538588586092,0.168709021277067,1.51820383641211,0.082846992445782,1.48973834583132,5.18497580765841,0.130135910212195,88.5332034720776,35.8753955694917,1.16826399693063,0.05890593459557,62417
"22","Louisiana",4621025,51.0320329364156,48.9679670635844,57.9728956238064,31.0526993470063,0.597378287284747,1.72959462456922,0.0624103959619349,2.31950703577669,6.26551468559465,0.117737241178421,86.9013913333123,33.6604984673277,1.152413918606,0.0808908372209943,60023
"23","Maine",1377400,50.7504719035865,49.2495280964135,91.3403513866705,1.68033977058226,0.452809641353274,1.11209525192391,0.0200377522869174,0.696457093073907,4.69790910410919,0.133998771498771,94.4885553249461,45.7311903052241,1.62123879877635,0.0664520773903944,71773
