"GEOID","NAME","male_pop","female_pop","total_pop","white_alone","black_alone","am_indian_alone","asian_alone","pacificI_alone","other_alone","two_or_more","pop_15_over","males_divorced","females_divorced","pop_25_over","highshool_grad","ged_alt_cred","some_college_less","some_college_more","associates","bachelors","masters","prof_school","doctorate","med_household_income","pct_female","pct_male","pct_white","pct_black","pct_am_indian","pct_asian","pct_pacificI","pct_other","pct_two_or_more","pct_divorced","pct_hs_or_higher","pct_ba_or_higher","pct_doctorate"
"32","Nevada",1582476,1558524,3141000,1670302,295802,41434,274032,22581,370951,465898,2569456,152021,189625,2196081,510504,91974,171910,351627,191284,390041,149136,38368,23848,75561,49.6187201528176,50.3812798471824,53.1773957338427,9.41744667303407,1.31913403374721,8.7243553008596,0.7189111747851,11.809964979306,14.8327921044253,0.1329643317496,87.3689085238659,36.095071174515,1.08593444413025
"33","New Hampshire",692568,695266,1387834,1234149,21164,1923,35818,283,17835,76662,1179650,62241,79660,1009222,230682,41876,61775,112510,100544,243501,120245,20737,17355,95628,50.0972018267314,49.9027981732686,88.9262692800436,1.5249662423604,0.13856124003303,2.58085621191007,0.0203914877427704,1.28509605615657,5.52385948175358,0.120290764209723,94.0551236497024,49.7791368004265,1.71964146639689
"34","New Jersey",4558671,4708343,9267014,5276142,1201053,41900,918644,2658,848026,978591,7598913,259894,398480,6459220,1496672,166311,339607,650056,434152,1666634,808480,182536,114036,101050,50.8075524651198,49.1924475348802,56.9346501472859,12.9605178108072,0.4521413262136,9.91305289924025,0.028682378164099,9.15101671369008,10.5599387245989,0.0866405497733689,90.6995581509842,49.6319679465942,1.765476326863
"35","New Mexico",1050368,1064400,2114768,1133871,44709,201346,36065,2049,253794,442934,1733586,98652,132000,1450999,305266,68064,94234,233461,133600,240734,138889,28774,29831,62125,50.3317621601991,49.6682378398009,53.6168033562074,2.11413261407398,9.52094981577175,1.70538801419352,0.0968900607537092,12.0010327373972,20.9448034016024,0.133049067078299,87.7225277205567,39.4092621704081,2.05589390482006
"36","New York",9702417,10169902,19872319,11340944,2927008,102927,1769224,9671,1949904,1772641,16474715,595726,886514,13996138,2875610,561828,688876,1392907,1242877,3083769,1767944,438449,245341,84578,51.1762215572325,48.8237784427675,57.0690516793737,14.7290711265253,0.517941564847062,8.90295692213878,0.0486656841609678,9.8121613285294,8.92015169442479,0.0899706004018886,87.8642451224759,48.4303598606987,1.75291926958708
"37","North Carolina",5177887,5406453,10584340,6695587,2178329,110873,333844,6153,506289,753265,8676196,376694,544430,7261810,1513723,298805,456438,995916,730994,1582709,681421,144873,112350,69904,51.0797366675674,48.9202633324326,63.2593718644715,20.5806786252142,1.04751925958539,3.15413148103708,0.0581330531710055,4.78337808498215,7.11678763153867,0.106166803977227,89.7466196444137,44.7870021385853,1.54713494294122
"38","North Dakota",399126,380235,779361,653820,25209,34916,12187,1127,11146,40956,623566,29175,32194,509149,109996,20767,34285,76801,71504,115348,35299,7107,6624,75949,48.7880455911959,51.2119544088041,83.8918036699296,3.2345729385997,4.48008047618498,1.56371694246954,0.14460564488087,1.43014597856449,5.25507434937083,0.0984162061433754,93.8293112625184,46.3286778526522,1.3009944043885
"39","Ohio",5809077,5970969,11780046,9167192,1446466,17151,288117,4229,186517,670374,9634115,504121,646069,8123344,2314693,310242,558844,1017442,727440,1545678,714000,150960,103491,69680,50.6871450247308,49.3128549752692,77.8196621643073,12.2789503538441,0.14559365897213,2.44580538989406,0.0358996900351662,1.58332998020551,5.69075876274167,0.119387198512785,91.6222432535173,39.9043669700557,1.27399504440536
"40","Oklahoma",1988686,2006574,3995260,2668453,282536,295365,93550,7706,136607,511043,3198423,183461,224209,2641325,675238,136149,201184,387483,220400,478236,181189,43076,31292,63603,50.2238652803572,49.7761347196428,66.7904717089751,7.07178005937035,7.39288556939974,2.34152470677753,0.192878561094897,3.41922678373873,12.7912326106436,0.127459688727851,89.1312882738777,36.1255430513095,1.1847084323209
"41","Oregon",2113849,2124865,4238714,3247656,81642,46276,188624,16973,198863,458680,3535623,193839,254959,3021010,541812,134370,241558,482060,276677,674901,289547,72598,57266,80426,50.1299450729632,49.8700549270368,76.6188990339995,1.92610305861636,1.09174622302897,4.45002894745906,0.400428054357996,4.69158806185083,10.8212066206873,0.126936044934655,91.7173064637323,45.3818093948713,1.89559120956237
"42","Pennsylvania",6400912,6585606,12986518,9844085,1393616,23921,480439,4614,445130,794713,10791660,458729,592863,9153146,2689934,349382,501617,902953,811206,1883145,912477,201720,159976,76081,50.7110990028274,49.2889009971726,75.8023436305251,10.7312522109468,0.184198720550035,3.69952130355496,0.0355291541581816,3.42763164075236,6.11952333951256,0.097444878730427,91.9073070614191,43.3569397887896,1.74777065721447
"44","Rhode Island",537173,558198,1095371,792361,63862,4855,38149,670,78252,117222,924977,41728,59474,776505,172082,33780,46842,89618,62840,172759,82416,19212,15280,86372,50.9597204965258,49.0402795034742,72.3372263826594,5.83017078231942,0.44322882384142,3.48274694144724,0.0611664906228118,7.14388093166607,10.7015796474437,0.109410288039595,89.4815873690446,45.3966168923574,1.96779157893381
"45","South Carolina",2537456,2675318,5212774,3339447,1318630,16823,89723,3642,142798,301711,4285287,190066,256919,3610374,859241,160072,232925,487339,358892,701835,321227,65889,47257,66818,51.3223477557247,48.6776522442753,64.0627619766366,25.2961283186265,0.322726440854716,1.72121407910644,0.069866830980971,2.73938597760041,5.78791637619433,0.10430689939787,89.5939589638082,41.4112222168673,1.30892256591699
"46","South Dakota",455597,443597,899194,733035,20149,69514,12554,606,12547,50789,716521,36399,39561,596137,148157,27556,37089,83403,72878,128272,39055,10558,7526,72421,49.3327357611372,50.6672642388628,81.5213402224659,2.24078452480777,7.73070105005149,1.39613920911394,0.0673936881251432,1.3953607341686,5.64828057126716,0.106012245279622,93.0145251846472,43.3271211147773,1.2624614811696
"47","Tennessee",3428050,3558032,6986082,5133249,1108897,17288,129226,5037,174679,417706,5700947,298106,386942,4805533,1245245,263047,314990,646948,375305,913559,386013,90905,70024,67097,50.9302925445192,49.0697074554808,73.4782242750658,15.8729456653959,0.247463456627048,1.84976357277226,0.0721004992497941,2.50038576701504,5.97911676387423,0.120163895577349,89.6057939878885,38.2019226587353,1.45715366016631
"48","Texas",14789987,14850356,29640343,15984990,3626137,190706,1581798,29841,2540808,5686063,23461051,1006243,1373348,19294631,3851633,840075,1251531,2714963,1494735,4078930,1692013,354163,256865,76292,50.1018358660694,49.8981641339306,53.9298415001473,12.2337889274763,0.643400111800326,5.33663864820998,0.100676972597787,8.57212752227597,19.1835263174923,0.101427297523883,85.6969381793308,40.8233046799392,1.3312770791004
"49","Utah",1686562,1644625,3331187,2688129,37772,33869,78887,31483,185734,275313,2555238,100354,125334,2003084,389184,60602,156371,325468,197302,486239,184689,37789,30838,91750,49.3705396905067,50.6294603094933,80.695830044966,1.13389011184302,1.01672466901438,2.36813484202478,0.945098548955673,5.57561013536616,8.26471164783004,0.0883236708283142,93.2802618362485,46.7707295350569,1.53952605082962
"50","Vermont",320321,324933,645254,589835,7887,1273,10700,120,4413,31026,550251,30920,37332,462996,112003,14176,24185,50395,39542,114217,60466,12578,10108,78024,50.3573786446888,49.6426213553112,91.4112891977423,1.22230935414581,0.197286649908408,1.65826170779259,0.018597327564029,0.683916721167168,4.80833904167971,0.124037939049634,94.529974341031,51.1691245712706,2.18317220883118
"51","Virginia",4278490,4379009,8657499,5344175,1623031,27216,593606,5679,351544,712248,7094262,296710,415509,5958915,1194144,229558,362268,721814,463315,1390116,798448,160592,122474,90974,50.580531398271,49.419468601729,61.7288549499111,18.7471116080984,0.314363305153139,6.85655291441558,0.0655963113596663,4.06057222761446,8.22694868344773,0.100393670264786,91.3375841071739,49.2530099858783,2.05530704834689
"53","Washington",3898212,3842772,7740984,5251386,306214,90212,727603,54406,430575,880588,6350931,306368,410235,5409147,963792,212611,399553,772145,542351,1279696,594492,126496,96470,94952,49.6419059902462,50.3580940097538,67.8387398811314,3.95575032838202,1.1653815587269,9.39936059808417,0.702830544540591,5.56227735388679,11.3756597352481,0.112834323030749,92.2068858546458,48.7970654153048,1.78346049756089
"54","West Virginia",890156,894306,1784462,1622009,58519,1532,13434,513,12055,76400,1490391,94472,104624,1269202,420437,80681,77460,146290,104239,175886,86870,18421,14364,57917,50.1162815459225,49.8837184540775,90.8962477206015,3.27936375221215,0.085852206435329,0.752831945987082,0.0287481605100025,0.675553752335438,4.28140246191849,0.133586421281395,88.6106388108433,31.4985321485469,1.13173474356328
"55","Wisconsin",2950540,2941483,5892023,4791680,361890,43336,169891,2229,139011,383986,4849677,238896,288211,4069583,1066410,140997,270025,533827,455765,879907,328124,69811,55286,75670,49.9231418478848,50.0768581521152,81.3248692342172,6.14203305044804,0.7355028994286,2.88340693849973,0.0378308095538663,2.35930850914873,6.51704855870386,0.108689094139672,93.3793953827702,43.9576487320691,1.35851756801618
"56","Wyoming",296646,283115,579761,498371,4982,11927,4792,499,18121,41069,471348,27921,29896,395504,88862,21023,33197,63891,46693,74355,32292,6542,5147,74815,48.8330536203712,51.1669463796288,85.9614565312258,0.85931961618667,2.05722702975881,0.826547491121341,0.0860699495136789,3.12559830688853,7.08378107530517,0.122663085448543,94.0577086451717,41.7262530846717,1.30137748290788
"72","Puerto Rico",1540987,1713898,3254885,1146311,237762,5598,6035,168,879626,979385,2825845,160107,232693,2412064,613383,56789,34931,250034,281812,499924,139661,30580,32488,25096,52.6561767927285,47.3438232072715,35.2181720705954,7.30477420861259,0.171987643188623,0.185413616763726,0.00516147267875824,27.0247950388416,30.0896959493193,0.139002669997824,80.4125429507675,40.8142155432028,1.34689626809239
